date,total_equity,trx_balance,trx_liquidation_price,trx_price
20260822,2507,7263,0.440,0.343
20260823,2524,7319,0.440,0.344
20260824,2556,7439,0.440,0.344
20260825,2582,7526,0.440,0.342
20260826,2644,7742,0.440,0.334
20260827,2777,8254,0.441,0.336
20260828,2734,8084,0.442,0.338
20260829,2739,8092,0.442,0.338
20260830,2713,7997,0.442,0.339
20260831,2721,7991,0.443,0.340
20260901,2907,8723,0.443,0.333
20260902,3120,9639,0.444,0.324
20260903,3112,9562,0.444,0.324
20260904,2942,8876,0.444,0.331
20260905,2939,8857,0.444,0.332
20260906,2882,8622,0.444,0.334
